,Date,Close/Last,Volume,Open,High,Low,SameDay_Binary,PreviousDay_Binary,SameDay_Percentage,PreviousDay_Percentage
0,2021-04-07,3279.39,3346227.0,3233.8,3303.6125,3223.65,1,0,1,-1
1,2021-04-08,3299.3,2812090.0,3310.9,3324.5,3292.0,0,1,0,1
2,2021-04-09,3372.2,4341473.0,3304.7,3372.2,3288.9,1,1,1,1
3,2021-04-10,3356.1949999999997,3213501.0,3379.625,3399.585,3338.575,0,0,-1,1
4,2021-04-11,3356.1949999999997,3213501.0,3379.625,3399.585,3338.575,0,0,-1,-1
5,2021-04-12,3379.39,3281798.0,3355.21,3395.04,3351.15,1,1,1,0
6,2021-04-13,3400.0,3315837.0,3400.845,3432.0,3395.63,0,1,0,1
7,2021-04-14,3333.0,3145204.0,3404.04,3404.13,3326.0,0,0,-1,-1
8,2021-04-15,3379.09,3233580.0,3371.0,3396.9999,3352.0,1,1,0,-1
9,2021-04-16,3399.44,3186049.0,3380.0,3406.8,3355.59,1,1,1,1
10,2021-04-17,3356.1949999999997,3213501.0,3379.625,3399.585,3338.575,0,0,-1,-1
11,2021-04-18,3356.1949999999997,3213501.0,3379.625,3399.585,3338.575,0,0,-1,-1
12,2021-04-19,3372.01,2725405.0,3390.33,3435.9333,3360.16,0,1,-1,0
13,2021-04-20,3334.69,2623032.0,3373.6,3382.99,3316.0,0,0,-1,-1
14,2021-04-21,3362.02,2211166.0,3316.0,3362.86,3303.8061,1,1,1,0
15,2021-04-22,3309.04,2580590.0,3371.68,3372.87,3301.45,0,0,-1,0
16,2021-04-23,3340.88,3196652.0,3319.1,3375.0,3308.5,1,1,1,-1
17,2021-04-24,3356.1949999999997,3213501.0,3379.625,3399.585,3338.575,0,1,-1,1
18,2021-04-25,3356.1949999999997,3213501.0,3379.625,3399.585,3338.575,0,0,-1,-1
19,2021-04-26,3409.0,4880708.0,3348.0,3428.45,3330.94,1,1,1,1
20,2021-04-27,3417.43,3827140.0,3443.47,3460.0,3398.01,0,1,-1,1
21,2021-04-28,3458.5,4631884.0,3434.8,3489.88,3425.0,1,1,1,0
22,2021-04-29,3471.31,7682381.0,3505.098,3514.445,3435.0,0,1,-1,1
23,2021-04-30,3467.42,7009346.0,3525.12,3554.0,3462.5,0,0,-1,-1
24,2021-05-01,3356.1949999999997,3213501.0,3379.625,3399.585,3338.575,0,0,-1,-1
25,2021-05-02,3356.1949999999997,3213501.0,3379.625,3399.585,3338.575,0,0,-1,-1
26,2021-05-03,3386.49,5875530.0,3484.73,3486.645,3372.7012,0,1,-1,0
27,2021-05-04,3311.87,5439449.0,3356.19,3367.975,3272.13,0,0,-1,-1
28,2021-05-05,3270.54,3711308.0,3338.855,3354.695,3264.36,0,0,-1,-1
29,2021-05-06,3306.37,4447696.0,3270.0,3314.4,3247.2,1,1,1,-1
30,2021-05-07,3291.61,4710276.0,3319.09,3330.89,3289.0704,0,0,-1,1
31,2021-05-08,3356.1949999999997,3213501.0,3379.625,3399.585,3338.575,0,1,-1,1
32,2021-05-09,3356.1949999999997,3213501.0,3379.625,3399.585,3338.575,0,0,-1,-1
33,2021-05-10,3190.49,5838603.0,3282.32,3283.0,3190.0,0,0,-1,-1
34,2021-05-11,3223.91,4619781.0,3136.28,3238.0,3127.37,1,1,1,-1
35,2021-05-12,3151.94,4936410.0,3185.0,3207.94,3133.1,0,0,-1,0
36,2021-05-13,3161.47,3356877.0,3185.47,3203.84,3133.0,0,1,-1,-1
37,2021-05-14,3222.9,3325022.0,3185.56,3228.86,3183.0,1,1,1,1
38,2021-05-15,3356.1949999999997,3213501.0,3379.625,3399.585,3338.575,0,1,-1,1
39,2021-05-16,3356.1949999999997,3213501.0,3379.625,3399.585,3338.575,0,0,-1,-1
40,2021-05-17,3270.39,3685599.0,3245.93,3292.75,3234.59,1,0,1,-1
41,2021-05-18,3232.28,2828391.0,3292.575,3312.0,3230.37,0,0,-1,0
42,2021-05-19,3231.8,2679708.0,3195.0,3234.75,3184.0,1,0,1,-1
43,2021-05-20,3247.68,2633192.0,3244.4042,3259.6799,3236.18,1,1,0,1
44,2021-05-21,3203.08,4104882.0,3250.0,3256.6946,3197.01,0,0,-1,-1
45,2021-05-22,3356.1949999999997,3213501.0,3379.625,3399.585,3338.575,0,1,-1,1
46,2021-05-23,3356.1949999999997,3213501.0,3379.625,3399.585,3338.575,0,0,-1,-1
47,2021-05-24,3244.99,2422813.0,3215.5,3257.95,3210.4993,1,0,1,-1
48,2021-05-25,3259.05,3261109.0,3266.67,3279.82,3213.76,0,1,0,1
49,2021-05-26,3265.16,2383986.0,3274.591,3295.73,3258.51,0,1,0,0
50,2021-05-27,3230.11,2561157.0,3256.0,3260.355,3230.04,0,0,-1,-1
51,2021-05-28,3223.07,2331509.0,3242.0,3247.99,3219.7,0,0,-1,-1
52,2021-05-29,3356.1949999999997,3213501.0,3379.625,3399.585,3338.575,0,1,-1,1
53,2021-05-30,3356.1949999999997,3213501.0,3379.625,3399.585,3338.575,0,0,-1,-1
54,2021-05-31,3356.1949999999997,3213501.0,3379.625,3399.585,3338.575,0,0,-1,-1
55,2021-06-01,3218.65,2430045.0,3243.495,3250.98,3209.06,0,0,-1,-1
56,2021-06-02,3233.99,2014524.0,3223.1,3235.0,3208.0,1,1,0,0
57,2021-06-03,3187.01,2398293.0,3204.23,3214.435,3184.03,0,0,-1,-1
58,2021-06-04,3206.22,2249749.0,3212.0,3221.0,3198.81,0,1,0,0
59,2021-06-05,3356.1949999999997,3213501.0,3379.625,3399.585,3338.575,0,1,-1,1
60,2021-06-06,3356.1949999999997,3213501.0,3379.625,3399.585,3338.575,0,0,-1,-1
61,2021-06-07,3198.01,2215756.0,3197.33,3208.0,3172.2,1,0,0,-1
62,2021-06-08,3264.11,3416730.0,3222.61,3279.5321,3218.01,1,1,1,1
63,2021-06-09,3281.15,2455530.0,3272.87,3297.58,3270.7,1,1,0,1
64,2021-06-10,3349.65,3476480.0,3282.01,3351.0,3281.15,1,1,1,1
65,2021-06-11,3346.83,2817352.0,3349.65,3366.58,3333.45,0,0,0,1
66,2021-06-12,3356.1949999999997,3213501.0,3379.625,3399.585,3338.575,0,1,-1,0
67,2021-06-13,3356.1949999999997,3213501.0,3379.625,3399.585,3338.575,0,0,-1,-1
68,2021-06-14,3383.87,2569655.0,3346.83,3385.0,3335.5,1,1,1,0
69,2021-06-15,3383.13,2426200.0,3384.0,3396.9866,3363.1101,0,0,0,1
70,2021-06-16,3415.25,4202782.0,3392.0,3426.35,3360.53,1,1,1,1
71,2021-06-17,3489.24,5136531.0,3403.18,3497.2,3401.0,1,1,1,1
72,2021-06-18,3486.9,5247737.0,3479.99,3507.0,3473.71,1,0,0,1
73,2021-06-19,3356.1949999999997,3213501.0,3379.625,3399.585,3338.575,0,0,-1,-1
74,2021-06-20,3356.1949999999997,3213501.0,3379.625,3399.585,3338.575,0,0,-1,-1
75,2021-06-21,3453.96,3277130.0,3476.42,3482.0,3434.0,0,1,-1,1
76,2021-06-22,3505.44,3345082.0,3458.06,3523.78,3456.09,1,1,1,1
