,Date,Close/Last,Volume,Open,High,Low,SameDay_Binary,PreviousDay_Binary,SameDay_Percentage,PreviousDay_Percentage
0,2021-04-07,127.9,83466720.0,125.83,127.92,125.14,1,0,1,-1
1,2021-04-08,130.36,88844590.0,128.95,130.39,128.52,1,1,1,1
2,2021-04-09,132.995,106686700.0,129.8,133.04,129.47,1,1,1,1
3,2021-04-10,131.635,89321380.0,133.73000000000002,133.925,131.14249999999998,0,0,-1,1
4,2021-04-11,131.635,89321380.0,133.73000000000002,133.925,131.14249999999998,0,0,-1,-1
5,2021-04-12,131.24,91419980.0,132.52,132.85,130.63,0,0,-1,-1
6,2021-04-13,134.43,91266550.0,132.44,134.66,131.93,1,1,1,1
7,2021-04-14,132.03,87222780.0,134.94,135.0,131.655,0,0,-1,0
8,2021-04-15,134.5,89347100.0,133.82,135.0,133.64,1,1,1,0
9,2021-04-16,134.16,84922390.0,134.3,134.67,133.28,0,0,0,0
10,2021-04-17,131.635,89321380.0,133.73000000000002,133.925,131.14249999999998,0,0,-1,-1
11,2021-04-18,131.635,89321380.0,133.73000000000002,133.925,131.14249999999998,0,0,-1,-1
12,2021-04-19,134.84,94264220.0,133.51,135.47,133.34,1,1,1,1
13,2021-04-20,133.11,94812350.0,135.02,135.53,131.81,0,0,-1,0
14,2021-04-21,133.5,68847140.0,132.36,133.75,131.3001,1,1,1,-1
15,2021-04-22,131.94,84566460.0,133.04,134.15,131.41,0,0,-1,0
16,2021-04-23,134.32,78756780.0,132.16,135.12,132.16,1,1,1,1
17,2021-04-24,131.635,89321380.0,133.73000000000002,133.925,131.14249999999998,0,0,-1,0
18,2021-04-25,131.635,89321380.0,133.73000000000002,133.925,131.14249999999998,0,0,-1,-1
19,2021-04-26,134.72,66905070.0,134.83,135.06,133.56,0,1,0,1
20,2021-04-27,134.39,66015800.0,135.01,135.41,134.11,0,0,0,0
21,2021-04-28,133.58,107760100.0,134.31,135.02,133.08,0,0,-1,-1
22,2021-04-29,133.48,151101000.0,136.47,137.07,132.45,0,0,-1,-1
23,2021-04-30,131.46,109839500.0,131.78,133.56,131.065,0,0,0,-1
24,2021-05-01,131.635,89321380.0,133.73000000000002,133.925,131.14249999999998,0,1,-1,0
25,2021-05-02,131.635,89321380.0,133.73000000000002,133.925,131.14249999999998,0,0,-1,-1
26,2021-05-03,132.54,75135100.0,132.04,134.07,131.83,1,1,0,-1
27,2021-05-04,127.85,137564700.0,131.19,131.4899,126.7,0,0,-1,-1
28,2021-05-05,128.1,84000900.0,129.2,130.45,127.97,0,1,-1,-1
29,2021-05-06,129.74,78128330.0,127.89,129.75,127.13,1,1,1,0
30,2021-05-07,130.21,78973270.0,130.85,131.2582,129.475,0,1,0,1
31,2021-05-08,131.635,89321380.0,133.73000000000002,133.925,131.14249999999998,0,1,-1,1
32,2021-05-09,131.635,89321380.0,133.73000000000002,133.925,131.14249999999998,0,0,-1,-1
33,2021-05-10,126.85,88071230.0,129.41,129.54,126.81,0,0,-1,-1
34,2021-05-11,125.91,126142800.0,123.5,126.27,122.77,1,0,1,-1
35,2021-05-12,122.77,112172300.0,123.4,124.64,122.25,0,0,-1,-1
36,2021-05-13,124.97,105861300.0,124.58,126.15,124.26,1,1,0,1
37,2021-05-14,127.45,81917950.0,126.25,127.89,125.85,1,1,1,1
38,2021-05-15,131.635,89321380.0,133.73000000000002,133.925,131.14249999999998,0,1,-1,1
39,2021-05-16,131.635,89321380.0,133.73000000000002,133.925,131.14249999999998,0,0,-1,-1
40,2021-05-17,126.27,74116550.0,126.82,126.93,125.17,0,0,0,-1
41,2021-05-18,124.85,63342930.0,126.56,126.99,124.78,0,0,-1,-1
42,2021-05-19,124.69,92611990.0,123.16,124.915,122.86,1,0,1,-1
43,2021-05-20,127.31,76857120.0,125.23,127.72,125.1,1,1,1,1
44,2021-05-21,125.43,79295440.0,127.82,128.0,125.21,0,0,-1,0
45,2021-05-22,131.635,89321380.0,133.73000000000002,133.925,131.14249999999998,0,1,-1,1
46,2021-05-23,131.635,89321380.0,133.73000000000002,133.925,131.14249999999998,0,0,-1,-1
47,2021-05-24,127.1,63092950.0,126.01,127.94,125.94,1,0,1,-1
48,2021-05-25,126.9,72009480.0,127.82,128.32,126.32,0,0,-1,1
49,2021-05-26,126.85,56575920.0,126.955,127.39,126.42,0,0,0,-1
50,2021-05-27,125.28,94625600.0,126.44,127.64,125.08,0,0,-1,-1
51,2021-05-28,124.61,71311110.0,125.57,125.8,124.55,0,0,-1,-1
52,2021-05-29,131.635,89321380.0,133.73000000000002,133.925,131.14249999999998,0,1,-1,1
53,2021-05-30,131.635,89321380.0,133.73000000000002,133.925,131.14249999999998,0,0,-1,-1
54,2021-05-31,131.635,89321380.0,133.73000000000002,133.925,131.14249999999998,0,0,-1,-1
55,2021-06-01,124.28,67637120.0,125.08,125.35,123.94,0,0,-1,-1
56,2021-06-02,125.06,59278860.0,124.28,125.24,124.05,1,1,1,0
57,2021-06-03,123.54,76229170.0,124.68,124.85,123.13,0,0,-1,-1
58,2021-06-04,125.89,75169340.0,124.07,126.16,123.85,1,1,1,1
59,2021-06-05,131.635,89321380.0,133.73000000000002,133.925,131.14249999999998,0,1,-1,1
60,2021-06-06,131.635,89321380.0,133.73000000000002,133.925,131.14249999999998,0,0,-1,-1
61,2021-06-07,125.9,71057550.0,126.17,126.32,124.8321,0,0,0,-1
62,2021-06-08,126.74,74403770.0,126.6,128.46,126.2101,1,1,0,0
63,2021-06-09,127.13,56877940.0,127.21,127.75,126.52,0,1,0,0
64,2021-06-10,126.11,71186420.0,127.02,128.19,125.94,0,0,-1,-1
65,2021-06-11,127.35,53522370.0,126.53,127.44,126.1,1,1,1,0
66,2021-06-12,131.635,89321380.0,133.73000000000002,133.925,131.14249999999998,0,1,-1,1
67,2021-06-13,131.635,89321380.0,133.73000000000002,133.925,131.14249999999998,0,0,-1,-1
68,2021-06-14,130.48,96906490.0,127.82,130.54,127.07,1,0,1,-1
69,2021-06-15,129.64,62746330.0,129.94,130.6,129.39,0,0,0,1
70,2021-06-16,130.15,91815030.0,130.37,130.89,128.461,0,1,0,0
71,2021-06-17,131.79,96721670.0,129.8,132.55,129.65,1,1,1,1
72,2021-06-18,130.46,108953300.0,130.71,131.51,130.24,0,0,0,1
73,2021-06-19,131.635,89321380.0,133.73000000000002,133.925,131.14249999999998,0,1,-1,1
74,2021-06-20,131.635,89321380.0,133.73000000000002,133.925,131.14249999999998,0,0,-1,-1
75,2021-06-21,132.3,79663320.0,130.3,132.41,129.21,1,1,1,-1
76,2021-06-22,133.98,74783620.0,132.13,134.08,131.62,1,1,1,1
77,2021-06-23,133.7,60214200.0,133.77,134.32,133.23,0,0,0,1
78,2021-06-24,133.41,68711000.0,134.45,134.64,132.93,0,0,-1,0
79,2021-06-25,133.11,70783750.0,133.46,133.89,132.81,0,0,0,-1
80,2021-06-26,131.635,89321380.0,133.73000000000002,133.925,131.14249999999998,0,0,-1,-1
81,2021-06-27,131.635,89321380.0,133.73000000000002,133.925,131.14249999999998,0,0,-1,-1
82,2021-06-28,134.78,62111300.0,133.41,135.245,133.35,1,1,1,1
83,2021-06-29,136.33,64556080.0,134.8,136.49,134.35,1,1,1,1
84,2021-06-30,136.96,63261390.0,136.17,137.41,135.87,1,1,1,1
85,2021-07-01,137.27,52485780.0,136.6,137.33,135.76,1,1,0,1
86,2021-07-02,139.96,78945570.0,137.9,140.0,137.745,1,1,1,1
87,2021-07-03,131.635,89321380.0,133.73000000000002,133.925,131.14249999999998,0,0,-1,-1
88,2021-07-04,131.635,89321380.0,133.73000000000002,133.925,131.14249999999998,0,0,-1,-1
89,2021-07-05,131.635,89321380.0,133.73000000000002,133.925,131.14249999999998,0,0,-1,-1
90,2021-07-06,142.02,108181800.0,140.07,143.15,140.07,1,1,1,1
91,2021-07-07,144.57,104911600.0,143.535,144.89,142.66,1,1,1,1
92,2021-07-08,143.24,105575500.0,141.58,144.06,140.665,1,0,1,0
93,2021-07-09,145.11,99890800.0,142.75,145.65,142.6522,1,1,1,1
94,2021-07-10,131.635,89321380.0,133.73000000000002,133.925,131.14249999999998,0,0,-1,-1
95,2021-07-11,131.635,89321380.0,133.73000000000002,133.925,131.14249999999998,0,0,-1,-1
96,2021-07-12,144.5,76299720.0,146.21,146.32,144.0,0,1,-1,1
97,2021-07-13,145.64,100827100.0,144.03,147.46,143.63,1,1,1,0
98,2021-07-14,149.15,127050800.0,148.1,149.57,147.68,1,1,1,1
99,2021-07-15,148.48,106820300.0,149.24,150.0,147.09,0,0,-1,0
100,2021-07-16,146.39,93251430.0,148.46,149.76,145.88,0,0,-1,-1
101,2021-07-17,131.635,89321380.0,133.73000000000002,133.925,131.14249999999998,0,0,-1,-1
102,2021-07-18,131.635,89321380.0,133.73000000000002,133.925,131.14249999999998,0,0,-1,-1
103,2021-07-19,142.45,121434600.0,143.75,144.07,141.67,0,1,-1,1
104,2021-07-20,146.15,96350040.0,143.46,147.0997,142.96,1,1,1,1
105,2021-07-21,145.4,74993460.0,145.53,146.13,144.63,0,0,0,1
106,2021-07-22,146.8,77338160.0,145.935,148.195,145.81,1,1,1,1
107,2021-07-23,148.56,71447420.0,147.55,148.7177,146.92,1,1,1,1
108,2021-07-24,131.635,89321380.0,133.73000000000002,133.925,131.14249999999998,0,0,-1,-1
109,2021-07-25,131.635,89321380.0,133.73000000000002,133.925,131.14249999999998,0,0,-1,-1
110,2021-07-26,148.99,72434090.0,148.27,149.83,147.7,1,1,0,1
111,2021-07-27,146.77,104818600.0,149.12,149.21,145.55,0,0,-1,-1
112,2021-07-28,144.98,118931200.0,144.81,146.97,142.54,1,0,0,-1
113,2021-07-29,145.64,56699480.0,144.685,146.55,144.58,1,1,1,1
114,2021-07-30,145.86,70440630.0,144.38,146.33,144.11,1,1,1,1
115,2021-07-31,131.635,89321380.0,133.73000000000002,133.925,131.14249999999998,0,0,-1,-1
116,2021-08-01,131.635,89321380.0,133.73000000000002,133.925,131.14249999999998,0,0,-1,-1
117,2021-08-02,145.52,62879960.0,146.36,146.95,145.25,0,1,-1,1
118,2021-08-03,147.36,64786620.0,145.81,148.045,145.18,1,1,1,1
119,2021-08-04,146.95,56368270.0,147.27,147.79,146.28,0,0,0,1
120,2021-08-05,147.06,46397670.0,146.98,147.84,146.17,1,1,0,0
121,2021-08-06,146.14,54126810.0,146.35,147.11,145.63,0,0,0,-1
122,2021-08-07,131.635,89321380.0,133.73000000000002,133.925,131.14249999999998,0,0,-1,-1
123,2021-08-08,131.635,89321380.0,133.73000000000002,133.925,131.14249999999998,0,0,-1,-1
124,2021-08-09,146.09,48908690.0,146.2,146.7,145.52,0,1,0,1
125,2021-08-10,145.6,69023080.0,146.44,147.71,145.3,0,0,-1,0
126,2021-08-11,145.86,48493460.0,146.05,146.72,145.53,0,1,0,0
127,2021-08-12,148.89,73779110.0,146.19,149.05,145.84,1,1,1,1
128,2021-08-13,149.1,59375010.0,148.97,149.4444,148.27,1,1,0,1
129,2021-08-14,131.635,89321380.0,133.73000000000002,133.925,131.14249999999998,0,0,-1,-1
130,2021-08-15,131.635,89321380.0,133.73000000000002,133.925,131.14249999999998,0,0,-1,-1
131,2021-08-16,151.12,103558800.0,148.535,151.19,146.47,1,1,1,1
132,2021-08-17,150.19,92229740.0,150.23,151.68,149.09,0,0,0,1
133,2021-08-18,146.36,86325990.0,149.8,150.72,146.15,0,0,-1,-1
134,2021-08-19,146.7,86960310.0,145.03,148.0,144.5,1,1,1,-1
135,2021-08-20,148.19,60549630.0,147.44,148.5,146.78,1,1,1,1
136,2021-08-21,131.635,89321380.0,133.73000000000002,133.925,131.14249999999998,0,0,-1,-1
137,2021-08-22,131.635,89321380.0,133.73000000000002,133.925,131.14249999999998,0,0,-1,-1
138,2021-08-23,149.71,60131810.0,148.31,150.19,147.89,1,1,1,1
139,2021-08-24,149.62,48606430.0,149.45,150.86,149.15,1,0,0,1
140,2021-08-25,148.36,58991300.0,149.81,150.32,147.8,0,0,-1,-1
141,2021-08-26,147.54,48597200.0,148.35,149.12,147.51,0,0,-1,-1
142,2021-08-27,148.6,55802390.0,147.48,148.75,146.83,1,1,1,0
143,2021-08-28,131.635,89321380.0,133.73000000000002,133.925,131.14249999999998,0,0,-1,-1
144,2021-08-29,131.635,89321380.0,133.73000000000002,133.925,131.14249999999998,0,0,-1,-1
145,2021-08-30,153.12,90956720.0,149.0,153.49,148.61,1,1,1,1
146,2021-08-31,151.83,86453120.0,152.66,152.8,151.29,0,0,-1,1
147,2021-09-01,152.51,80313710.0,152.83,154.98,152.34,0,1,0,0
148,2021-09-02,153.65,71171320.0,153.87,154.72,152.4,0,1,0,1
149,2021-09-03,154.3,57866070.0,153.76,154.63,153.09,1,1,0,0
150,2021-09-04,131.635,89321380.0,133.73000000000002,133.925,131.14249999999998,0,0,-1,-1
151,2021-09-05,131.635,89321380.0,133.73000000000002,133.925,131.14249999999998,0,0,-1,-1
