,Date,Close/Last,Volume,Open,High,Low,SameDay_Binary,PreviousDay_Binary,SameDay_Percentage,PreviousDay_Percentage
0,2021-04-07,134.93,2976136.0,133.84,134.94,133.78,1,0,1,-1
1,2021-04-08,135.12,4087228.0,134.57,135.6299,134.16,1,1,0,1
2,2021-04-09,135.73,3023916.0,134.87,135.74,134.71,1,1,1,1
3,2021-04-10,133.61,4811004.0,133.16250000000002,134.075,132.185,1,0,0,-1
4,2021-04-11,133.61,4811004.0,133.16250000000002,134.075,132.185,1,0,0,0
5,2021-04-12,134.59,3753959.0,135.02,135.37,133.85,0,1,0,1
6,2021-04-13,131.18,8033530.0,133.0,133.62,130.38,0,0,-1,-1
7,2021-04-14,132.63,5868049.0,131.305,132.78,130.52,1,1,1,0
8,2021-04-15,132.58,3883955.0,133.28,133.87,132.22,0,0,-1,1
9,2021-04-16,133.59,5291756.0,133.0,134.1,132.95,1,1,0,0
10,2021-04-17,133.61,4811004.0,133.16250000000002,134.075,132.185,1,1,0,0
11,2021-04-18,133.61,4811004.0,133.16250000000002,134.075,132.185,1,0,0,0
12,2021-04-19,133.12,8198582.0,133.6,133.815,132.58,0,0,0,0
13,2021-04-20,138.16,15480580.0,137.07,139.77,136.7,1,1,1,1
14,2021-04-21,143.55,11909010.0,138.06,143.73,137.71,1,1,1,1
15,2021-04-22,141.28,7101368.0,143.7,144.74,141.0,0,0,-1,1
16,2021-04-23,142.43,4556700.0,141.31,143.61,140.95,1,1,1,-1
17,2021-04-24,133.61,4811004.0,133.16250000000002,134.075,132.185,1,0,0,-1
18,2021-04-25,133.61,4811004.0,133.16250000000002,134.075,132.185,1,0,0,0
19,2021-04-26,141.57,4710763.0,142.42,143.63,141.48,0,1,-1,1
20,2021-04-27,142.01,3884037.0,141.69,142.56,140.75,1,1,0,0
21,2021-04-28,143.0,3768129.0,142.92,143.4,142.1,1,1,0,1
22,2021-04-29,144.24,4353880.0,144.13,148.74,142.98,1,1,0,1
23,2021-04-30,141.88,8872181.0,143.7,143.83,140.55,0,0,-1,-1
24,2021-05-01,133.61,4811004.0,133.16250000000002,134.075,132.185,1,0,0,-1
25,2021-05-02,133.61,4811004.0,133.16250000000002,134.075,132.185,1,0,0,0
26,2021-05-03,144.75,5733463.0,143.81,145.75,143.55,1,1,1,1
27,2021-05-04,145.75,6350479.0,144.41,146.59,144.33,1,1,1,1
28,2021-05-05,145.22,3622786.0,145.94,146.0,144.3592,0,0,0,1
29,2021-05-06,148.42,7503487.0,145.26,148.515,145.18,1,1,1,1
30,2021-05-07,145.46,7003467.0,145.92,146.14,144.57,0,0,0,0
31,2021-05-08,133.61,4811004.0,133.16250000000002,134.075,132.185,1,0,0,-1
32,2021-05-09,133.61,4811004.0,133.16250000000002,134.075,132.185,1,0,0,0
33,2021-05-10,146.17,6983377.0,145.8,148.38,145.8,1,1,0,1
34,2021-05-11,144.22,7126404.0,144.99,145.19,142.9,0,0,-1,-1
35,2021-05-12,141.3,5959579.0,143.84,144.15,141.14,0,0,-1,-1
36,2021-05-13,144.17,4598920.0,141.45,144.9,141.28,1,1,1,0
37,2021-05-14,144.68,2747385.0,145.11,145.69,143.96,0,1,0,1
38,2021-05-15,133.61,4811004.0,133.16250000000002,134.075,132.185,1,0,0,-1
39,2021-05-16,133.61,4811004.0,133.16250000000002,134.075,132.185,1,0,0,0
40,2021-05-17,145.11,4275014.0,144.44,145.8,144.33,1,1,0,1
41,2021-05-18,143.91,3824050.0,144.78,145.3,143.23,0,0,-1,0
42,2021-05-19,143.19,4300732.0,142.32,143.2,140.92,1,0,1,-1
43,2021-05-20,143.88,4112690.0,143.12,144.91,142.16,1,1,1,1
44,2021-05-21,144.74,4033482.0,144.28,145.699,144.28,1,1,0,1
45,2021-05-22,133.61,4811004.0,133.16250000000002,134.075,132.185,1,0,0,-1
46,2021-05-23,133.61,4811004.0,133.16250000000002,134.075,132.185,1,0,0,0
47,2021-05-24,144.72,3297570.0,145.06,145.39,144.18,0,1,0,1
48,2021-05-25,143.79,3937323.0,144.92,145.0,143.2,0,0,-1,-1
49,2021-05-26,143.38,3083789.0,143.5,143.9894,143.04,0,0,0,-1
50,2021-05-27,143.82,5630345.0,143.82,144.77,143.63,0,1,0,0
51,2021-05-28,143.74,2534811.0,144.21,144.33,143.485,0,0,0,0
52,2021-05-29,133.61,4811004.0,133.16250000000002,134.075,132.185,1,0,0,-1
53,2021-05-30,133.61,4811004.0,133.16250000000002,134.075,132.185,1,0,0,0
54,2021-05-31,133.61,4811004.0,133.16250000000002,134.075,132.185,1,0,0,0
55,2021-06-01,144.19,2417455.0,145.0,145.83,143.75,0,1,-1,1
56,2021-06-02,145.72,2786916.0,144.62,145.75,144.11,1,1,1,0
57,2021-06-03,145.55,4130741.0,144.91,145.88,144.04,1,0,0,1
58,2021-06-04,147.42,3117905.0,146.0,147.55,145.76,1,1,1,1
59,2021-06-05,133.61,4811004.0,133.16250000000002,134.075,132.185,1,0,0,-1
60,2021-06-06,133.61,4811004.0,133.16250000000002,134.075,132.185,1,0,0,0
61,2021-06-07,148.02,3462712.0,147.55,148.74,147.17,1,1,0,1
62,2021-06-08,149.07,5080099.0,148.12,150.2,148.12,1,1,1,1
63,2021-06-09,150.67,5303252.0,149.03,151.07,148.82,1,1,1,1
64,2021-06-10,150.54,4758488.0,151.47,152.84,149.76,0,0,-1,1
65,2021-06-11,151.28,3438255.0,150.43,151.845,150.37,1,1,1,0
66,2021-06-12,133.61,4811004.0,133.16250000000002,134.075,132.185,1,0,0,-1
67,2021-06-13,133.61,4811004.0,133.16250000000002,134.075,132.185,1,0,0,0
68,2021-06-14,150.03,3344845.0,150.71,151.03,148.655,0,1,0,1
69,2021-06-15,149.36,2513281.0,149.85,149.91,148.6,0,0,0,-1
70,2021-06-16,147.83,3879185.0,149.76,149.76,147.22,0,0,-1,-1
71,2021-06-17,145.6,4367387.0,147.55,148.06,145.28,0,0,-1,-1
72,2021-06-18,143.12,9156505.0,144.48,144.68,143.04,0,0,-1,-1
73,2021-06-19,133.61,4811004.0,133.16250000000002,134.075,132.185,1,0,0,-1
74,2021-06-20,133.61,4811004.0,133.16250000000002,134.075,132.185,1,0,0,0
75,2021-06-21,146.65,4285711.0,144.11,147.07,144.06,1,1,1,1
76,2021-06-22,146.36,2437121.0,146.52,146.81,145.35,0,0,0,1
77,2021-06-23,144.61,3202644.0,146.43,146.5,144.57,0,0,-1,-1
78,2021-06-24,145.44,3609679.0,145.8,146.19,144.69,0,1,0,-1
79,2021-06-25,146.84,3594218.0,145.38,146.93,144.945,1,1,1,1
80,2021-06-26,133.61,4811004.0,133.16250000000002,134.075,132.185,1,0,0,-1
81,2021-06-27,133.61,4811004.0,133.16250000000002,134.075,132.185,1,0,0,0
82,2021-06-28,145.29,3888869.0,147.01,147.3,144.9121,0,1,-1,1
83,2021-06-29,145.55,2428626.0,145.26,146.74,145.1,1,1,0,-1
84,2021-06-30,146.59,3245091.0,145.13,146.93,144.71,1,1,1,1
85,2021-07-01,146.84,2686289.0,146.96,147.5,146.57,0,1,0,1
86,2021-07-02,140.02,16828160.0,146.91,146.95,139.46,0,0,-1,-1
87,2021-07-03,133.61,4811004.0,133.16250000000002,134.075,132.185,1,0,0,-1
88,2021-07-04,133.61,4811004.0,133.16250000000002,134.075,132.185,1,0,0,0
89,2021-07-05,133.61,4811004.0,133.16250000000002,134.075,132.185,1,0,0,0
90,2021-07-06,138.78,8093747.0,139.99,140.42,137.1,0,1,-1,1
91,2021-07-07,139.82,4059667.0,138.76,140.33,138.76,1,1,1,0
92,2021-07-08,140.74,5487425.0,137.78,141.31,137.66,1,1,1,1
93,2021-07-09,141.52,3904059.0,141.45,141.98,140.841,1,1,0,1
94,2021-07-10,133.61,4811004.0,133.16250000000002,134.075,132.185,1,0,0,-1
95,2021-07-11,133.61,4811004.0,133.16250000000002,134.075,132.185,1,0,0,0
96,2021-07-12,140.92,3342627.0,141.43,141.9599,140.115,0,1,0,1
97,2021-07-13,140.28,3164294.0,140.92,140.92,139.63,0,0,0,-1
98,2021-07-14,139.82,4403752.0,140.72,140.75,138.9273,0,0,-1,-1
99,2021-07-15,140.45,3639698.0,139.32,140.46,138.8005,1,1,1,0
100,2021-07-16,138.9,4109308.0,141.0,141.0,138.59,0,0,-1,0
101,2021-07-17,133.61,4811004.0,133.16250000000002,134.075,132.185,1,0,0,-1
102,2021-07-18,133.61,4811004.0,133.16250000000002,134.075,132.185,1,0,0,0
103,2021-07-19,137.92,8582302.0,136.45,138.49,136.2089,1,1,1,1
104,2021-07-20,139.97,13611680.0,143.0,144.92,138.7,0,1,-1,1
105,2021-07-21,141.3,4803977.0,139.97,141.39,139.65,1,1,1,-1
106,2021-07-22,140.71,3314153.0,141.66,141.81,140.41,0,0,-1,1
107,2021-07-23,141.34,4474157.0,140.96,141.7,140.33,1,1,0,0
108,2021-07-24,133.61,4811004.0,133.16250000000002,134.075,132.185,1,0,0,-1
109,2021-07-25,133.61,4811004.0,133.16250000000002,134.075,132.185,1,0,0,0
110,2021-07-26,142.77,4246266.0,141.39,143.0,141.13,1,1,1,1
111,2021-07-27,142.75,3137027.0,142.53,143.64,141.6,1,0,0,1
112,2021-07-28,141.77,2544099.0,143.01,143.1,141.64,0,0,-1,-1
113,2021-07-29,141.93,2670873.0,142.33,142.96,141.6,0,1,0,-1
114,2021-07-30,140.96,3535555.0,141.52,141.85,140.79,0,0,0,-1
115,2021-07-31,133.61,4811004.0,133.16250000000002,134.075,132.185,1,0,0,-1
116,2021-08-01,133.61,4811004.0,133.16250000000002,134.075,132.185,1,0,0,0
117,2021-08-02,141.42,2929540.0,141.45,143.06,141.03,0,1,0,1
118,2021-08-03,144.07,4084724.0,141.9,144.7,141.65,1,1,1,1
119,2021-08-04,142.76,2830079.0,143.8,144.18,142.47,0,0,-1,1
120,2021-08-05,142.77,2757389.0,143.03,143.41,142.22,0,1,0,-1
121,2021-08-06,144.09,3826835.0,143.0,144.39,142.89,1,1,1,1
122,2021-08-07,133.61,4811004.0,133.16250000000002,134.075,132.185,1,0,0,-1
123,2021-08-08,133.61,4811004.0,133.16250000000002,134.075,132.185,1,0,0,0
124,2021-08-09,141.25,4904065.0,142.2,142.495,140.97,0,1,-1,1
125,2021-08-10,141.38,5299869.0,141.21,141.811,140.34,1,1,0,-1
126,2021-08-11,142.13,4259952.0,141.78,142.7685,141.5,1,1,0,1
127,2021-08-12,143.07,2089418.0,142.26,143.15,142.0766,1,1,1,1
128,2021-08-13,143.18,1910443.0,142.64,143.58,142.44,1,1,0,1
129,2021-08-14,133.61,4811004.0,133.16250000000002,134.075,132.185,1,0,0,-1
130,2021-08-15,133.61,4811004.0,133.16250000000002,134.075,132.185,1,0,0,0
131,2021-08-16,143.59,2786343.0,143.23,143.74,142.23,1,1,0,1
132,2021-08-17,142.42,3074078.0,143.0,143.16,141.09,0,0,0,-1
133,2021-08-18,139.47,3510694.0,141.67,141.915,139.39,0,0,-1,-1
134,2021-08-19,138.02,4160129.0,138.69,139.45,137.21,0,0,0,-1
135,2021-08-20,139.11,2657763.0,137.74,139.38,137.27,1,1,1,0
136,2021-08-21,133.61,4811004.0,133.16250000000002,134.075,132.185,1,0,0,-1
137,2021-08-22,133.61,4811004.0,133.16250000000002,134.075,132.185,1,0,0,0
138,2021-08-23,139.62,3039587.0,139.62,140.15,138.8,0,1,0,1
139,2021-08-24,139.84,2365638.0,139.78,140.23,139.32,1,1,0,0
140,2021-08-25,139.86,2012817.0,139.92,140.8,139.46,0,1,0,0
141,2021-08-26,138.78,2498915.0,139.97,140.8,138.71,0,0,-1,-1
142,2021-08-27,139.41,2459643.0,138.71,139.585,138.4,1,1,1,0
143,2021-08-28,133.61,4811004.0,133.16250000000002,134.075,132.185,1,0,0,-1
144,2021-08-29,133.61,4811004.0,133.16250000000002,134.075,132.185,1,0,0,0
145,2021-08-30,138.97,1995526.0,139.5,139.88,138.815,0,1,0,1
146,2021-08-31,140.34,4235101.0,139.54,140.94,138.95,1,1,1,1
147,2021-09-01,139.3,2474544.0,139.98,140.0699,139.19,0,0,0,0
148,2021-09-02,140.01,2715659.0,139.72,140.05,139.03,1,1,0,0
149,2021-09-03,139.58,1924215.0,139.68,140.47,139.3,0,0,0,0
150,2021-09-04,133.61,4811004.0,133.16250000000002,134.075,132.185,1,0,0,-1
151,2021-09-05,133.61,4811004.0,133.16250000000002,134.075,132.185,1,0,0,0
152,2021-09-06,133.61,4811004.0,133.16250000000002,134.075,132.185,1,0,0,0
153,2021-09-07,138.06,3285363.0,139.65,139.79,137.7614,0,1,-1,1
154,2021-09-08,138.67,2985409.0,138.14,139.09,137.6,1,1,0,-1
155,2021-09-09,137.74,3508363.0,137.85,138.96,137.555,0,0,0,0
156,2021-09-10,137.02,3975115.0,138.82,139.3699,137.0,0,0,-1,-1
157,2021-09-11,133.61,4811004.0,133.16250000000002,134.075,132.185,1,0,0,-1
158,2021-09-12,133.61,4811004.0,133.16250000000002,134.075,132.185,1,0,0,0
159,2021-09-13,138.15,4144345.0,138.4,138.99,137.51,0,1,0,1
160,2021-09-14,136.22,4454291.0,138.4,138.57,135.34,0,0,-1,-1
161,2021-09-15,137.2,3254122.0,136.22,137.8,135.67,1,1,1,-1
162,2021-09-16,136.43,2643975.0,137.28,137.95,135.71,0,0,-1,0
163,2021-09-17,135.23,5633480.0,135.75,135.9199,135.05,0,0,0,-1
164,2021-09-18,133.61,4811004.0,133.16250000000002,134.075,132.185,1,0,0,-1
165,2021-09-19,133.61,4811004.0,133.16250000000002,134.075,132.185,1,0,0,0
166,2021-09-20,134.31,4770651.0,133.9,135.18,132.78,1,1,0,1
167,2021-09-21,132.97,4074528.0,135.11,135.65,132.94,0,0,-1,-1
168,2021-09-22,134.63,3602416.0,133.72,135.37,133.47,1,1,1,0
169,2021-09-23,136.73,3013238.0,135.25,137.42,135.03,1,1,1,1
170,2021-09-24,137.49,2964397.0,137.03,138.48,136.75,1,1,0,1
171,2021-09-25,133.61,4811004.0,133.16250000000002,134.075,132.185,1,0,0,-1
