,Date,Close/Last,Volume,Open,High,Low,SameDay_Binary,PreviousDay_Binary,SameDay_Percentage,PreviousDay_Percentage
0,2021-04-07,249.9,22719840.0,247.81,250.93,247.19,1,0,1,-1
1,2021-04-08,253.25,23625200.0,252.77,254.139,252.0,1,1,0,1
2,2021-04-09,255.85,24326830.0,252.87,255.99,252.44,1,1,1,1
3,2021-04-10,255.75,25109805.0,256.09250000000003,258.25,254.89,0,0,0,1
4,2021-04-11,255.75,25109805.0,256.09250000000003,258.25,254.89,0,0,0,0
5,2021-04-12,255.91,27148670.0,254.71,257.67,254.62,1,1,0,0
6,2021-04-13,258.49,23837470.0,257.257,259.19,256.83,1,1,0,1
7,2021-04-14,255.59,23070940.0,257.475,258.83,255.16,0,0,-1,-1
8,2021-04-15,259.5,25627480.0,257.931,259.93,257.73,1,1,1,1
9,2021-04-16,260.74,24878580.0,259.47,261.0,257.6014,1,1,0,1
10,2021-04-17,255.75,25109805.0,256.09250000000003,258.25,254.89,0,0,0,-1
11,2021-04-18,255.75,25109805.0,256.09250000000003,258.25,254.89,0,0,0,0
12,2021-04-19,258.74,23209260.0,260.19,261.48,257.821,0,1,-1,1
13,2021-04-20,258.26,19722880.0,257.82,260.2,256.84,1,0,0,-1
14,2021-04-21,260.58,24030380.0,258.94,260.68,257.25,1,1,1,1
15,2021-04-22,257.17,25606150.0,260.21,261.78,255.64,0,0,-1,-1
16,2021-04-23,261.15,21499290.0,257.88,261.51,257.27,1,1,1,0
17,2021-04-24,255.75,25109805.0,256.09250000000003,258.25,254.89,0,0,0,-1
18,2021-04-25,255.75,25109805.0,256.09250000000003,258.25,254.89,0,0,0,0
19,2021-04-26,261.55,19763350.0,261.66,262.435,260.17,0,1,0,1
20,2021-04-27,261.97,31014210.0,261.585,263.19,260.12,1,1,0,0
21,2021-04-28,254.56,46903120.0,256.078,256.5399,252.95,0,0,-1,-1
22,2021-04-29,252.51,40589020.0,255.46,256.1,249.0,0,0,-1,-1
23,2021-04-30,252.18,30945100.0,249.74,253.08,249.6,1,0,1,-1
24,2021-05-01,255.75,25109805.0,256.09250000000003,258.25,254.89,0,1,0,1
25,2021-05-02,255.75,25109805.0,256.09250000000003,258.25,254.89,0,0,0,0
26,2021-05-03,251.86,19626570.0,253.4,254.35,251.12,0,0,-1,-1
27,2021-05-04,247.79,32756050.0,250.97,251.21,245.76,0,0,-1,-1
28,2021-05-05,246.47,21901330.0,249.06,249.5,245.82,0,0,-1,-1
29,2021-05-06,249.73,26491090.0,246.45,249.86,244.69,1,1,1,0
30,2021-05-07,252.46,27032910.0,252.15,254.3,251.17,1,1,0,1
31,2021-05-08,255.75,25109805.0,256.09250000000003,258.25,254.89,0,1,0,1
32,2021-05-09,255.75,25109805.0,256.09250000000003,258.25,254.89,0,0,0,0
33,2021-05-10,247.18,29299890.0,250.87,251.73,247.12,0,0,-1,-1
34,2021-05-11,246.23,33641590.0,244.55,246.6,242.57,1,0,1,-1
35,2021-05-12,239.0,36684370.0,242.165,244.38,238.07,0,0,-1,-1
36,2021-05-13,243.03,29624300.0,241.8,245.6,241.42,1,1,1,0
37,2021-05-14,248.15,23901080.0,245.575,249.18,245.49,1,1,1,1
38,2021-05-15,255.75,25109805.0,256.09250000000003,258.25,254.89,0,1,0,1
39,2021-05-16,255.75,25109805.0,256.09250000000003,258.25,254.89,0,0,0,0
40,2021-05-17,245.18,24938180.0,246.55,246.59,243.52,0,0,-1,-1
41,2021-05-18,243.08,20167980.0,246.27,246.41,242.9,0,0,-1,-1
42,2021-05-19,243.12,25739810.0,239.31,243.23,238.6,1,1,1,-1
43,2021-05-20,246.48,21800720.0,243.96,247.95,243.86,1,1,1,1
44,2021-05-21,245.17,21863060.0,247.565,248.33,244.74,0,0,-1,0
45,2021-05-22,255.75,25109805.0,256.09250000000003,258.25,254.89,0,1,0,1
46,2021-05-23,255.75,25109805.0,256.09250000000003,258.25,254.89,0,0,0,0
47,2021-05-24,250.78,21411550.0,247.785,251.16,247.51,1,0,1,-1
48,2021-05-25,251.72,17704300.0,251.769,252.75,250.82,0,1,0,1
49,2021-05-26,251.49,17771600.0,251.43,252.94,250.75,1,0,0,0
50,2021-05-27,249.31,24426240.0,251.17,251.48,249.25,0,0,-1,-1
51,2021-05-28,249.68,18274940.0,250.995,252.08,249.56,0,1,-1,-1
52,2021-05-29,255.75,25109805.0,256.09250000000003,258.25,254.89,0,1,0,1
53,2021-05-30,255.75,25109805.0,256.09250000000003,258.25,254.89,0,0,0,0
54,2021-05-31,255.75,25109805.0,256.09250000000003,258.25,254.89,0,0,0,0
55,2021-06-01,247.4,23213310.0,251.23,251.29,246.96,0,0,-1,-1
56,2021-06-02,247.3,19406710.0,248.125,249.27,245.84,0,0,0,-1
57,2021-06-03,245.71,25307710.0,245.22,246.34,243.0,1,0,0,-1
58,2021-06-04,250.79,25281090.0,247.76,251.65,247.51,1,1,1,1
