,Date,Close/Last,Volume,Open,High,Low,SameDay_Binary,PreviousDay_Binary,SameDay_Percentage,PreviousDay_Percentage
0,2021-04-07,670.97,26309430.0,687.0,691.38,667.84,0,0,-1,-1
1,2021-04-08,683.8,23924330.0,677.38,689.5499,671.645,1,1,1,0
2,2021-04-09,677.02,21437090.0,677.77,680.97,669.43,0,0,0,0
3,2021-04-10,717.105,39076550.0,728.2,742.795,705.06,0,1,-1,1
4,2021-04-11,717.105,39076550.0,728.2,742.795,705.06,0,0,-1,-1
5,2021-04-12,701.98,29135670.0,685.7,704.8,682.09,1,0,1,-1
6,2021-04-13,762.32,44652810.0,712.7,763.0,710.66,1,1,1,1
7,2021-04-14,732.23,49017430.0,770.7,780.79,728.03,0,0,-1,1
8,2021-04-15,738.85,27848900.0,743.1,743.69,721.31,0,1,-1,-1
9,2021-04-16,739.78,27979530.0,728.65,749.41,724.6,1,1,1,0
10,2021-04-17,717.105,39076550.0,728.2,742.795,705.06,0,0,-1,-1
11,2021-04-18,717.105,39076550.0,728.2,742.795,705.06,0,0,-1,-1
12,2021-04-19,714.63,39686230.0,719.6,725.4,691.8001,0,0,-1,-1
13,2021-04-20,718.99,35609040.0,717.42,737.25,710.685,1,1,0,0
14,2021-04-21,744.12,31215510.0,704.77,744.84,698.0,1,1,1,1
15,2021-04-22,719.69,35590260.0,741.5,753.77,718.04,0,0,-1,1
16,2021-04-23,729.4,28413890.0,719.8,737.36,715.46,1,1,1,-1
17,2021-04-24,717.105,39076550.0,728.2,742.795,705.06,0,0,-1,0
18,2021-04-25,717.105,39076550.0,728.2,742.795,705.06,0,0,-1,-1
19,2021-04-26,738.2,31038500.0,741.0,749.3,732.6053,0,1,0,1
20,2021-04-27,704.74,29437000.0,717.96,724.0,703.3501,0,0,-1,-1
21,2021-04-28,694.4,22271050.0,696.41,708.5,693.6,0,0,0,-1
22,2021-04-29,677.0,28845450.0,699.51,702.25,668.5002,0,0,-1,-1
23,2021-04-30,709.44,40758720.0,667.59,715.47,666.14,1,1,1,1
24,2021-05-01,717.105,39076550.0,728.2,742.795,705.06,0,1,-1,1
25,2021-05-02,717.105,39076550.0,728.2,742.795,705.06,0,0,-1,-1
26,2021-05-03,684.9,27043140.0,703.8,706.0,680.5,0,0,-1,-1
27,2021-05-04,673.6,29739320.0,678.94,683.4464,657.701,0,0,-1,-1
28,2021-05-05,670.94,21901890.0,681.06,685.2955,667.34,0,0,-1,-1
29,2021-05-06,663.54,27784620.0,680.76,681.02,650.0,0,0,-1,-1
30,2021-05-07,672.37,23469170.0,665.8,690.0,660.22,1,1,1,-1
31,2021-05-08,717.105,39076550.0,728.2,742.795,705.06,0,1,-1,1
32,2021-05-09,717.105,39076550.0,728.2,742.795,705.06,0,0,-1,-1
33,2021-05-10,629.04,31392420.0,664.9,665.05,627.6101,0,0,-1,-1
34,2021-05-11,617.2,46503900.0,599.24,627.0999,595.6,1,0,1,-1
35,2021-05-12,589.89,33823650.0,602.49,620.41,586.765,0,0,-1,-1
36,2021-05-13,571.69,44184920.0,601.545,606.4599,559.65,0,0,-1,-1
37,2021-05-14,589.74,33370860.0,583.41,592.87,570.46,1,1,1,-1
38,2021-05-15,717.105,39076550.0,728.2,742.795,705.06,0,1,-1,1
39,2021-05-16,717.105,39076550.0,728.2,742.795,705.06,0,0,-1,-1
40,2021-05-17,576.83,32247800.0,575.553,589.73,561.2,1,0,0,-1
41,2021-05-18,577.87,36830570.0,568.0,596.25,563.38,1,1,1,0
42,2021-05-19,563.46,39578400.0,552.55,566.21,546.98,1,0,1,-1
43,2021-05-20,586.78,30821120.0,575.0,588.85,571.07,1,1,1,1
44,2021-05-21,580.88,26030600.0,596.11,596.68,580.0,0,0,-1,1
45,2021-05-22,717.105,39076550.0,728.2,742.795,705.06,0,1,-1,1
46,2021-05-23,717.105,39076550.0,728.2,742.795,705.06,0,0,-1,-1
47,2021-05-24,606.44,34558090.0,581.6,614.48,573.65,1,0,1,-1
48,2021-05-25,604.69,28005930.0,607.31,613.99,595.71,0,0,0,1
49,2021-05-26,619.13,28639310.0,607.56,626.17,601.5,1,1,1,1
50,2021-05-27,630.85,26370590.0,620.24,631.13,616.21,1,1,1,1
51,2021-05-28,625.22,22737040.0,628.5,635.59,622.38,0,0,-1,1
52,2021-05-29,717.105,39076550.0,728.2,742.795,705.06,0,1,-1,1
53,2021-05-30,717.105,39076550.0,728.2,742.795,705.06,0,0,-1,-1
54,2021-05-31,717.105,39076550.0,728.2,742.795,705.06,0,0,-1,-1
55,2021-06-01,623.9,18084890.0,627.8,633.8,620.55,0,0,-1,-1
56,2021-06-02,605.12,23302780.0,620.13,623.36,599.14,0,0,-1,-1
57,2021-06-03,572.84,30111890.0,601.8,604.55,571.22,0,0,-1,-1
58,2021-06-04,599.05,24036900.0,579.71,600.61,577.2,1,1,1,0
59,2021-06-05,717.105,39076550.0,728.2,742.795,705.06,0,1,-1,1
60,2021-06-06,717.105,39076550.0,728.2,742.795,705.06,0,0,-1,-1
61,2021-06-07,605.13,22543680.0,591.825,610.0,582.88,1,0,1,-1
62,2021-06-08,603.59,26053410.0,623.01,623.09,595.5,0,0,-1,1
63,2021-06-09,598.78,16584570.0,602.17,611.79,597.6301,0,0,-1,-1
64,2021-06-10,610.12,23919610.0,603.88,616.59,600.5,1,1,1,1
65,2021-06-11,609.89,16205300.0,610.23,612.56,601.52,0,0,0,1
66,2021-06-12,717.105,39076550.0,728.2,742.795,705.06,0,1,-1,1
67,2021-06-13,717.105,39076550.0,728.2,742.795,705.06,0,0,-1,-1
68,2021-06-14,617.69,20423980.0,612.23,625.49,609.18,1,0,1,-1
69,2021-06-15,599.36,17764150.0,616.69,616.79,598.23,0,0,-1,-1
70,2021-06-16,604.87,22144130.0,597.535,608.5,593.5,1,1,1,-1
71,2021-06-17,616.6,22701350.0,601.888,621.47,601.34,1,1,1,1
72,2021-06-18,623.31,24560910.0,613.37,628.35,611.8,1,1,1,1
73,2021-06-19,717.105,39076550.0,728.2,742.795,705.06,0,1,-1,1
74,2021-06-20,717.105,39076550.0,728.2,742.795,705.06,0,0,-1,-1
75,2021-06-21,620.83,24812740.0,624.48,631.39,608.88,0,0,-1,-1
76,2021-06-22,623.71,19158890.0,618.25,628.5693,615.5,1,1,1,0
77,2021-06-23,656.57,31099230.0,632.0,657.204,630.04,1,1,1,1
78,2021-06-24,679.82,45982390.0,674.99,697.62,667.61,1,1,1,1
79,2021-06-25,671.87,32496710.0,689.58,693.81,668.7,0,0,-1,0
80,2021-06-26,717.105,39076550.0,728.2,742.795,705.06,0,1,-1,1
81,2021-06-27,717.105,39076550.0,728.2,742.795,705.06,0,0,-1,-1
82,2021-06-28,688.72,21628160.0,671.64,694.6999,670.32,1,0,1,-1
83,2021-06-29,680.76,17381310.0,684.65,687.5099,675.89,0,0,-1,1
84,2021-06-30,679.7,18924860.0,679.77,692.81,678.14,0,0,0,-1
85,2021-07-01,677.92,18634520.0,683.92,687.99,672.8,0,0,-1,0
86,2021-07-02,678.9,27097370.0,678.98,700.0,673.26,0,1,0,-1
87,2021-07-03,717.105,39076550.0,728.2,742.795,705.06,0,1,-1,1
88,2021-07-04,717.105,39076550.0,728.2,742.795,705.06,0,0,-1,-1
89,2021-07-05,717.105,39076550.0,728.2,742.795,705.06,0,0,-1,-1
90,2021-07-06,659.58,23284450.0,681.7115,684.0,651.4002,0,0,-1,-1
91,2021-07-07,644.65,18791960.0,664.27,665.7,638.32,0,0,-1,-1
92,2021-07-08,652.81,22773320.0,628.37,654.43,620.46,1,1,1,-1
93,2021-07-09,656.95,18140550.0,653.185,658.91,644.69,1,1,1,1
94,2021-07-10,717.105,39076550.0,728.2,742.795,705.06,0,1,-1,1
95,2021-07-11,717.105,39076550.0,728.2,742.795,705.06,0,0,-1,-1
96,2021-07-12,685.7,25927040.0,662.2,687.24,662.161,1,0,1,-1
97,2021-07-13,668.54,20966090.0,686.32,693.28,666.2958,0,0,-1,1
98,2021-07-14,653.38,21641190.0,670.75,678.6099,652.84,0,0,-1,-1
99,2021-07-15,650.6,20209570.0,658.39,666.14,637.88,0,0,-1,-1
100,2021-07-16,644.22,16370970.0,654.68,656.6999,642.2,0,0,-1,-1
101,2021-07-17,717.105,39076550.0,728.2,742.795,705.06,0,1,-1,1
102,2021-07-18,717.105,39076550.0,728.2,742.795,705.06,0,0,-1,-1
103,2021-07-19,646.22,21297090.0,629.89,647.1999,621.29,1,0,1,-1
104,2021-07-20,660.5,15487130.0,651.99,662.3916,640.501,1,1,1,1
105,2021-07-21,655.29,13953340.0,659.61,664.8599,650.2901,0,0,-1,1
106,2021-07-22,649.26,15105730.0,656.4428,662.17,644.6001,0,0,-1,-1
107,2021-07-23,643.38,14604940.0,646.36,648.8,637.3001,0,0,0,-1
108,2021-07-24,717.105,39076550.0,728.2,742.795,705.06,0,1,-1,1
109,2021-07-25,717.105,39076550.0,728.2,742.795,705.06,0,0,-1,-1
110,2021-07-26,657.62,25336560.0,650.97,668.1999,647.11,1,0,1,-1
111,2021-07-27,644.78,32813290.0,663.4,666.5,627.24,0,0,-1,-1
112,2021-07-28,646.98,16006600.0,646.995,654.9699,639.4001,0,1,0,-1
113,2021-07-29,677.35,30394640.0,649.79,683.69,648.8,1,1,1,1
114,2021-07-30,687.2,29656410.0,671.758,697.53,669.0,1,1,1,1
115,2021-07-31,717.105,39076550.0,728.2,742.795,705.06,0,1,-1,1
116,2021-08-01,717.105,39076550.0,728.2,742.795,705.06,0,0,-1,-1
117,2021-08-02,709.67,33615770.0,700.0,726.94,698.4,1,0,1,-1
118,2021-08-03,709.74,21620250.0,719.0,722.65,701.01,0,1,-1,1
119,2021-08-04,710.92,17002650.0,711.0,724.9,708.93,0,1,0,-1
120,2021-08-05,714.63,12919640.0,716.0,720.9499,711.41,0,1,0,1
121,2021-08-06,699.1,15623050.0,711.9,716.33,697.63,0,0,-1,-1
122,2021-08-07,717.105,39076550.0,728.2,742.795,705.06,0,1,-1,1
123,2021-08-08,717.105,39076550.0,728.2,742.795,705.06,0,0,-1,-1
124,2021-08-09,713.76,14715350.0,710.17,719.03,705.13,1,0,1,-1
125,2021-08-10,709.99,13432310.0,713.99,716.59,701.88,0,0,-1,0
126,2021-08-11,707.82,9800558.0,712.71,715.18,704.21,0,0,-1,-1
127,2021-08-12,722.25,17681690.0,706.34,722.8,699.4,1,1,1,1
128,2021-08-13,717.17,16731470.0,723.71,729.9,714.34,0,0,-1,1
129,2021-08-14,717.105,39076550.0,728.2,742.795,705.06,0,0,-1,-1
130,2021-08-15,717.105,39076550.0,728.2,742.795,705.06,0,0,-1,-1
131,2021-08-16,686.17,23103300.0,705.07,709.5,676.4,0,0,-1,-1
132,2021-08-17,665.71,23721280.0,672.66,674.58,648.84,0,0,-1,-1
133,2021-08-18,688.99,20349380.0,669.748,695.77,669.35,1,1,1,1
134,2021-08-19,673.47,14313490.0,678.21,686.55,667.59,0,0,-1,1
135,2021-08-20,680.26,14841870.0,682.85,692.1299,673.7,0,1,0,0
136,2021-08-21,717.105,39076550.0,728.2,742.795,705.06,0,1,-1,1
137,2021-08-22,717.105,39076550.0,728.2,742.795,705.06,0,0,-1,-1
138,2021-08-23,706.3,20264860.0,685.442,712.1299,680.7505,1,0,1,-1
139,2021-08-24,708.49,13083070.0,710.68,715.22,702.64,0,1,0,1
140,2021-08-25,711.2,12645560.0,707.03,716.97,704.0,1,1,1,0
141,2021-08-26,701.16,13214290.0,708.31,715.4,697.6201,0,0,-1,-1
142,2021-08-27,711.92,13833760.0,705.0,715.0,702.1001,1,1,1,1
143,2021-08-28,717.105,39076550.0,728.2,742.795,705.06,0,1,-1,1
144,2021-08-29,717.105,39076550.0,728.2,742.795,705.06,0,0,-1,-1
145,2021-08-30,730.91,18604220.0,714.715,731.0,712.73,1,1,1,0
146,2021-08-31,735.72,20855440.0,733.0,740.39,726.44,1,1,0,1
147,2021-09-01,734.09,13204340.0,734.08,741.99,731.2701,1,0,0,0
148,2021-09-02,732.39,12796740.0,734.5,740.97,730.54,0,0,0,0
149,2021-09-03,733.57,15271050.0,732.249,734.0,724.2,1,1,0,0
150,2021-09-04,717.105,39076550.0,728.2,742.795,705.06,0,0,-1,-1
151,2021-09-05,717.105,39076550.0,728.2,742.795,705.06,0,0,-1,-1
152,2021-09-06,717.105,39076550.0,728.2,742.795,705.06,0,0,-1,-1
153,2021-09-07,752.92,20039830.0,740.0,760.2,739.26,1,1,1,1
154,2021-09-08,753.87,18793040.0,761.58,764.45,740.7733,0,1,-1,1
155,2021-09-09,754.86,14077730.0,753.41,762.1,751.6301,1,1,0,-1
156,2021-09-10,736.27,15184170.0,759.6,762.61,734.5201,0,0,-1,-1
157,2021-09-11,717.105,39076550.0,728.2,742.795,705.06,0,0,-1,-1
158,2021-09-12,717.105,39076550.0,728.2,742.795,705.06,0,0,-1,-1
159,2021-09-13,743.0,22952480.0,740.214,744.78,708.85,1,1,0,1
160,2021-09-14,744.49,18524880.0,742.57,754.47,736.4,1,1,0,1
161,2021-09-15,755.83,15357690.0,745.0,756.86,738.36,1,1,1,1
162,2021-09-16,756.99,13923390.0,752.83,758.91,747.61,1,1,1,1
163,2021-09-17,759.49,28204180.0,757.15,761.04,750.0,1,1,0,1
164,2021-09-18,717.105,39076550.0,728.2,742.795,705.06,0,0,-1,-1
165,2021-09-19,717.105,39076550.0,728.2,742.795,705.06,0,0,-1,-1
166,2021-09-20,730.17,24757650.0,734.5577,742.0,718.6249,0,1,-1,0
167,2021-09-21,739.38,16330720.0,734.79,744.7399,730.44,1,1,1,1
168,2021-09-22,751.94,15126270.0,743.5263,753.6699,739.12,1,1,1,1
169,2021-09-23,753.64,11947530.0,755.0,758.2,747.92,0,1,0,1
170,2021-09-24,774.39,21373020.0,745.89,774.8,744.56,1,1,1,1
171,2021-09-25,717.105,39076550.0,728.2,742.795,705.06,0,0,-1,-1
